subject_ids,classifications,workflow_id,workflow_version,file-name,advance,flag
13289300,5,427,6.20,,advance,1
13289301,5,427,6.20,,advance,1
13289302,5,427,6.20,,advance,1
13289303,5,427,6.20,,advance,1
13289304,5,427,6.20,,advance,1
13289305,5,427,6.20,,advance,1
13289306,5,427,6.20,,advance,1
13289307,5,427,6.20,,advance,1
13289308,5,427,6.20,,advance,1
13289309,5,427,6.20,,advance,1
13289310,5,427,6.20,,advance,1
13289311,5,427,6.20,,advance,1
13289312,5,427,6.20,,advance,1
13289313,5,427,6.20,,advance,1
13289314,5,427,6.20,,retire,0
13289315,5,427,6.20,,advance,1
13289316,5,427,6.20,,advance,1
13289317,5,427,6.20,,advance,1
13289318,5,427,6.20,,advance,1
13289319,5,427,6.20,,advance,1
13289320,5,427,6.20,,advance,1
13289321,5,427,6.20,,advance,1
13289322,5,427,6.20,,advance,1
13289323,5,427,6.20,,advance,1
13289324,5,427,6.20,,advance,1
13289325,5,427,6.20,,advance,1
13289326,5,427,6.20,,advance,1
13289327,5,427,6.20,,advance,1
13289328,5,427,6.20,,advance,1
13289329,5,427,6.20,,advance,1
13289330,5,427,6.20,,advance,1
13289331,5,427,6.20,,advance,1
13289332,5,427,6.20,,advance,1
13289333,5,427,6.20,,advance,1
13289334,5,427,6.20,,advance,1
13289335,5,427,6.20,,advance,1
13289336,5,427,6.20,,advance,1
13289337,5,427,6.20,,advance,1
13289338,5,427,6.20,,advance,1
13289339,5,427,6.20,,advance,1
13289340,5,427,6.20,,advance,1
13289341,5,427,6.20,,advance,1
13289342,5,427,6.20,,advance,1
13289343,5,427,6.20,,advance,1
13289344,5,427,6.20,,advance,1
13289345,5,427,6.20,,advance,1
13289346,5,427,6.20,,advance,1
13289347,5,427,6.20,,advance,1
13289348,5,427,6.20,,advance,1
13289349,5,427,6.20,,advance,1
13289350,5,427,6.20,,advance,1
13289351,5,427,6.20,,advance,1
13289352,5,427,6.20,,advance,1
13289353,5,427,6.20,,advance,1
13289354,5,427,6.20,,retire,0
13289355,5,427,6.20,,advance,1
13289356,5,427,6.20,,advance,1
13289357,5,427,6.20,,advance,1
13289358,5,427,6.20,,advance,1
13289359,5,427,6.20,,advance,1
13289360,5,427,6.20,,advance,1
13289361,5,427,6.20,,advance,1
13289362,5,427,6.20,,advance,1
13289363,5,427,6.20,,advance,1
13289364,5,427,6.20,,advance,1
13289365,5,427,6.20,,advance,1
13289366,5,427,6.20,,retire,0
13289367,5,427,6.20,,retire,0
13289368,5,427,6.20,,retire,0
13289369,5,427,6.20,,advance,1
13289370,5,427,6.20,,retire,0
13289371,5,427,6.20,,retire,0
13289372,5,427,6.20,,advance,1
13289373,5,427,6.20,,advance,1
13289374,5,427,6.20,,advance,1
13289375,5,427,6.20,,advance,1
13289376,5,427,6.20,,advance,1
13289377,5,427,6.20,,advance,1
13289378,5,427,6.20,,advance,1
13289379,5,427,6.20,,advance,1
13289380,5,427,6.20,,advance,1
13289381,5,427,6.20,,advance,1
13289382,5,427,6.20,,advance,1
13289383,5,427,6.20,,advance,1
13289384,5,427,6.20,,advance,1
13289385,5,427,6.20,,advance,1
13289386,5,427,6.20,,advance,1
13289387,5,427,6.20,,advance,1
13289388,5,427,6.20,,advance,1
13289389,5,427,6.20,,advance,1
13289390,5,427,6.20,,advance,1
13289391,5,427,6.20,,advance,1
13289392,5,427,6.20,,advance,1
13289393,5,427,6.20,,advance,1
13289394,5,427,6.20,,advance,1
13289395,5,427,6.20,,advance,1
13289396,5,427,6.20,,advance,1
13289397,5,427,6.20,,advance,1
13289398,5,427,6.20,,advance,1
13289399,5,427,6.20,,advance,1
13289400,5,427,6.20,,retire,0
13289401,5,427,6.20,,retire,0
13289402,5,427,6.20,,advance,1
13289403,5,427,6.20,,advance,1
13289404,5,427,6.20,,advance,1
13289405,5,427,6.20,,advance,1
13289406,5,427,6.20,,advance,1
13289407,5,427,6.20,,advance,1
13289408,5,427,6.20,,retire,0
13289409,5,427,6.20,,retire,0
13289410,6,427,6.20,,retire,0
13289411,5,427,6.20,,advance,1
13289412,5,427,6.20,,advance,1
13289413,5,427,6.20,,advance,1
13289414,5,427,6.20,,advance,1
13289415,5,427,6.20,,advance,1
13289416,5,427,6.20,,advance,1
13289417,5,427,6.20,,advance,1
